iter	RMSE
0	16.32601478
1	15.81013052
2	15.31508007
3	14.82016819
4	14.34323233
5	13.8882003
6	13.45234034
7	13.02285207
8	12.62258188
9	12.20904242
10	11.8305839
11	11.45500718
12	11.09951542
13	10.73482568
14	10.3895358
15	10.07335579
16	9.753570942
17	9.457187922
18	9.157843275
19	8.871952316
20	8.588877516
21	8.326311577
22	8.065925958
23	7.814292122
24	7.589319432
25	7.357803571
26	7.14167933
27	6.925886634
28	6.715696305
29	6.507855992
30	6.321299362
31	6.134099659
32	5.947374968
33	5.763342479
34	5.583839219
35	5.427087605
36	5.264416739
37	5.1119801
38	4.965553944
39	4.814689057
40	4.677631206
41	4.547145307
42	4.421492171
43	4.29486609
44	4.179469357
45	4.055110945
46	3.941327871
47	3.834236372
48	3.731811947
49	3.626501853
50	3.524265305
51	3.427738529
52	3.333040513
53	3.24326685
54	3.157751126
55	3.076338865
56	3.001990131
57	2.929076105
58	2.852032858
59	2.778051882
60	2.709081487
61	2.642446251
62	2.579274518
63	2.520077157
64	2.465466949
65	2.407436992
66	2.356430963
67	2.309309947
68	2.256085948
69	2.208888043
70	2.163758342
71	2.122228726
72	2.077994575
73	2.035570227
74	1.993809155
75	1.954971894
76	1.919611836
77	1.886920953
78	1.849926926
79	1.815992337
80	1.782848032
81	1.75110481
82	1.721511857
83	1.690744637
84	1.663473718
85	1.636086737
86	1.610403259
87	1.584737601
88	1.562284001
89	1.541057008
90	1.518802159
91	1.49685985
92	1.476340961
93	1.45696621
94	1.439191461
95	1.42185312
96	1.405995929
97	1.389581948
98	1.374898099
99	1.360569306
100	1.345149934
101	1.332108454
102	1.320604928
103	1.308985446
104	1.295199077
105	1.283366708
106	1.271539699
107	1.261860213
108	1.252590142
109	1.243022713
110	1.232987436
111	1.224775992
112	1.215880597
113	1.208005998
114	1.199935568
115	1.191595578
116	1.184025864
117	1.177391898
118	1.170009042
119	1.16398654
120	1.158023089
121	1.15162528
122	1.146025864
123	1.140344332
124	1.132939763
125	1.125966436
126	1.12135176
127	1.116386009
128	1.112455547
129	1.106582349
130	1.100755442
131	1.095867909
132	1.091338275
133	1.08705063
134	1.082088668
135	1.07755151
136	1.072170506
137	1.068241339
138	1.063153232
139	1.058389279
140	1.054490053
141	1.050779699
142	1.046407042
143	1.042499479
144	1.038232059
145	1.034126099
146	1.030796818
147	1.026613356
148	1.021625714
149	1.019552981
150	1.015095094
151	1.012682245
152	1.010102992
153	1.006007538
154	1.002644648
155	0.9987600453
156	0.9960684246
157	0.9936660855
158	0.9904071519
159	0.988703203
160	0.9843413899
161	0.9817252202
162	0.9784523002
163	0.9746223642
164	0.9717409711
165	0.9675552046
166	0.9646595872
167	0.9620124417
168	0.9592988047
169	0.9574296752
170	0.9552034456
171	0.9530522739
172	0.9509096409
173	0.9489939702
174	0.9472164796
175	0.944395422
176	0.941422252
177	0.9391814458
178	0.9360343131
179	0.932835882
180	0.9293545373
181	0.9281472701
182	0.9252608944
183	0.9221935094
184	0.9209523706
185	0.9177820815
186	0.9152020693
187	0.9115703606
188	0.9091729851
189	0.907739098
190	0.9053655362
191	0.9037919375
192	0.9012984527
193	0.8993886779
194	0.8955327502
195	0.892551217
196	0.8892600427
197	0.8860656794
